Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.6250000000	-0.3778115617	0.2322121410	0.0677768663	0.0023217343	0.7048822261	859.5126125500
0.6666666667	-0.4024321412	0.2609120442	0.0687327794	0.0026872671	0.7682880941	1021.0129913333
0.7142857143	-0.4301766275	0.2924647661	0.0695989015	0.0032017319	0.8429833054	1229.0923858333
0.7692307692	-0.4621815939	0.3449205784	0.0700340122	0.0040069307	0.9324473799	1503.7044593333
0.8333333333	-0.4998947240	0.4114164500	0.0703123770	0.0055149882	1.0415789367	1876.1413440000
0.9090909091	-0.5459311571	0.5214959436	0.0697350673	0.0092408033	1.1781192338	2400.1072783333
1.0000000000	-0.6104395515	0.8421189121	0.0678938069	0.0253852550	1.3604395515	3200.3843211667
1.1111111110	-0.7100527886	0.9471906683	0.0628582471	0.0790030463	1.6222808763	4550.3179656667
1.2500000000	-0.7882023248	0.6312247043	0.0580157661	0.1215723612	1.9227529060	6390.9381203333
1.4285714290	-0.8401209689	0.4057397651	0.0534776710	0.1489935414	2.2716013840	8919.4595468333
