Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.8547008547	-0.5441548389	0.5308746801	0.0687743913	0.0484013350	1.1061152468	265.9402629000
0.8771929825	-0.5605216134	0.5833216869	0.0684667668	0.0540791061	1.1495803625	287.2138938333
0.9009009009	-0.5786685740	0.6425588264	0.0682387596	0.0606761643	1.1969987152	311.3572453000
0.9259259259	-0.5990011292	0.6972435842	0.0674043960	0.0687119230	1.2490751195	338.9811862333
0.9523809524	-0.6207623206	0.7602808936	0.0667032407	0.0779343585	1.3054879243	370.2315775000
0.9803921569	-0.6441098035	0.8111217121	0.0657837123	0.0887090620	1.3667743172	405.7182827167
1.0101010100	-0.6685757361	0.8281966822	0.0646823677	0.1000417061	1.4329047840	445.7922259667
1.0416666670	-0.6937522037	0.8319398422	0.0637208679	0.1124265681	1.5039085457	490.9064663167
1.0752688170	-0.7184450960	0.7999742259	0.0623703289	0.1249393105	1.5789732215	540.9343664833
1.1111111110	-0.7419134514	0.7570325630	0.0610719779	0.1367685738	1.6576816127	595.9929600000
