Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.6250000000	-0.4784632292	0.2414720081	0.0645388591	0.0687397522	0.7677895182	38.8261173033
0.6666666667	-0.5046151953	0.2902938854	0.0652627257	0.0783943196	0.8364101302	45.9934278900
0.7142857143	-0.5373684323	0.3587454780	0.0655087519	0.0908247653	0.9195488802	55.4895641650
0.7692307692	-0.5767746849	0.4410423152	0.0655541266	0.1073180670	1.0205959114	68.2265968500
0.8333333333	-0.6255665312	0.5393629226	0.0649329861	0.1293499697	1.1463054427	85.8879871067
0.9090909091	-0.6831382943	0.6212805347	0.0631455729	0.1576088494	1.3028529948	110.6662091333
1.0000000000	-0.7458969661	0.6267236277	0.0607676172	0.1909361534	1.4958969662	145.4328196667
1.1111111110	-0.8057618086	0.5513096991	0.0574676649	0.2245689722	1.7286242318	193.6037259167
1.2500000000	-0.8541603854	0.4170032916	0.0538771810	0.2561510350	2.0052004817	259.8260738167
1.4285714290	-0.8889803463	0.2769234416	0.0506875744	0.2834355458	2.3414004948	353.5364919000
