Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.6250000000	-0.3851549011	0.2245560704	0.0677513458	0.0079312737	0.7094718132	258.6600058333
0.6666666667	-0.4093583374	0.2548604830	0.0684168761	0.0091742171	0.7729055583	306.8988482000
0.7142857143	-0.4368493096	0.2981283692	0.0692241502	0.0109270566	0.8477495069	369.1207128667
0.7692307692	-0.4691473294	0.3491108833	0.0699009966	0.0136959605	0.9378056380	451.5915092500
0.8333333333	-0.5077932559	0.4300687412	0.0699002903	0.0187619255	1.0481610463	563.9941223333
0.9090909091	-0.5580755291	0.5906549691	0.0692717951	0.0298688923	1.1891595720	725.8135560333
1.0000000000	-0.6310488948	0.8814247811	0.0667445117	0.0581949160	1.3810488950	978.8142511167
1.1111111110	-0.7224586084	0.8573653660	0.0621273383	0.1048898581	1.6360651203	1372.9838235000
1.2500000000	-0.7952406302	0.6003948414	0.0574253805	0.1424784748	1.9315507880	1912.7579045000
1.4285714290	-0.8448238712	0.3937127404	0.0531457775	0.1681937918	2.2783198160	2660.3409091667
