Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.9259259259	-0.5672496724	0.6441618107	0.0689814363	0.0334038248	1.2196756225	763.5265983250
0.9433962264	-0.5801524954	0.6979156182	0.0687706022	0.0378126962	1.2548608448	808.1944411500
0.9615384615	-0.5947657463	0.7569046290	0.0682843839	0.0433379568	1.2930439870	858.1025301250
0.9803921569	-0.6107043296	0.8274450334	0.0677557565	0.0500882020	1.3340238525	913.3344778000
1.0000000000	-0.6276465381	0.8833472358	0.0669044995	0.0575544508	1.3776465382	973.9998514250
1.0204081630	-0.6457832075	0.9306603734	0.0661093376	0.0664717113	1.4242685790	1040.9769237500
1.0416666670	-0.6647591203	0.9495662344	0.0651173197	0.0758172796	1.4737074170	1114.4002155000
1.0638297870	-0.6837464975	0.9365657639	0.0641687921	0.0855514226	1.5252622313	1193.5986947500
1.0869565220	-0.7016933831	0.9042379792	0.0632212577	0.0948869540	1.5779275905	1277.2957997500
1.1111111110	-0.7197566719	0.8544073144	0.0621949951	0.1042245485	1.6330629690	1367.9442415000
