Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.9708737864	-0.5898006628	0.7495457471	0.0685606286	0.0274613770	1.3007773425	1694.0740955000
0.9900990099	-0.6056364783	0.8182861520	0.0678941559	0.0335884039	1.3422143350	1803.7023000000
1.0101010100	-0.6230045719	0.9070003363	0.0671266540	0.0412863789	1.3868733050	1925.7140925000
1.0309278350	-0.6422429788	0.9609273076	0.0662215876	0.0508746850	1.4353020400	2062.4908845000
1.0526315790	-0.6621003775	0.9882211307	0.0654322947	0.0611040693	1.4864214500	2211.9261640000
1.0752688170	-0.6822779409	1.0044511071	0.0646398763	0.0720543839	1.5400838075	2374.4056765000
1.0989010990	-0.7016530620	0.9448547436	0.0633949451	0.0826978556	1.5952231450	2547.2796285000
1.1235955060	-0.7204126678	0.8919667692	0.0620549466	0.0929666183	1.6521490650	2732.1429470000
1.1494252870	-0.7376872284	0.8296581731	0.0611492356	0.1024569819	1.7099853200	2926.5919945000
1.1764705880	-0.7537430898	0.7662638933	0.0603634206	0.1112835294	1.7691095175	3132.2860150000
