Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.6250000000	-0.4003520185	0.2221791274	0.0670843822	0.0191800801	0.7189700116	112.6197176667
0.6666666667	-0.4244107755	0.2617109083	0.0679963066	0.0221293666	0.7829405170	133.4761008333
0.7142857143	-0.4524913110	0.3032228822	0.0686730186	0.0263084070	0.8589223650	160.5417746667
0.7692307692	-0.4861253426	0.3725989552	0.0690802232	0.0328061285	0.9508656481	196.6464493833
0.8333333333	-0.5286450046	0.4862721772	0.0691832562	0.0435556213	1.0655375040	246.8209923000
0.9090909091	-0.5851707273	0.6565130846	0.0679112128	0.0632109398	1.2137915702	320.1343444500
1.0000000000	-0.6607992168	0.8255895587	0.0651539005	0.0964323660	1.4107992167	432.1904615833
1.1111111110	-0.7418898681	0.7508044406	0.0610012174	0.1363205350	1.6576554088	595.9676080167
1.2500000000	-0.8078673827	0.5565533702	0.0568697772	0.1700889965	1.9473342283	821.6236655000
1.4285714290	-0.8536746898	0.3580536240	0.0527610119	0.1946439572	2.2909638427	1136.3471246667
